unique_id,ds,Naive,SeasonalNaive,AutoETS,AutoARIMA,LGBMRegressor,NBEATS,NHITS
hotel_133,2023-06-24,0.9836065573770492,1.0,1.037077370061083,0.9535231119287513,0.9653050999664734,0.98596936,0.98470664
hotel_133,2023-06-25,0.9836065573770492,0.9016393442622951,0.8576544559535373,0.8637210762910338,0.8796542037100907,0.8406841,0.8483281
hotel_133,2023-06-26,0.9836065573770492,0.8524590163934426,0.889043604439115,0.8629021335906313,0.898308089002553,0.85994923,0.8221538
hotel_133,2023-06-27,0.9836065573770492,0.8688524590163934,0.9057531881610257,0.8891783634157899,0.9162373032907668,0.9131594,0.901964
hotel_133,2023-06-28,0.9836065573770492,1.0,0.9245417494255395,0.9411081716437932,0.9325945652566742,0.9652443,0.95372766
hotel_133,2023-06-29,0.9836065573770492,1.0,0.9386354692108162,0.9509002538113212,0.9515058608152445,0.9748972,0.972889
hotel_133,2023-06-30,0.9836065573770492,0.9836065573770492,1.0068598429153672,0.9650397028990038,0.9468399184059358,0.9907315,0.98413175
hotel_14,2023-06-03,0.5660377358490566,0.6981132075471698,0.5856228761722997,0.6647320008197153,0.6470516519320184,0.6436943,0.62041485
hotel_14,2023-06-04,0.5660377358490566,0.4811320754716981,0.3625967115481431,0.5358726259570746,0.4779116619842374,0.4097833,0.40750256
hotel_14,2023-06-05,0.5660377358490566,0.37735849056603776,0.45754845204892763,0.5052048666337638,0.5065756869046365,0.48037413,0.44970283
hotel_14,2023-06-06,0.5660377358490566,0.49056603773584906,0.5421698752690773,0.587358813838514,0.5621874325061393,0.57693994,0.5513923
hotel_14,2023-06-07,0.5660377358490566,0.5471698113207547,0.5653450658290413,0.6076349603988022,0.6083243208672514,0.61600083,0.58403236
hotel_14,2023-06-08,0.5660377358490566,0.5188679245283019,0.5209390832107407,0.5776326576629804,0.5988151431502424,0.5960537,0.5454888
hotel_14,2023-06-09,0.5660377358490566,0.5660377358490566,0.5554432718610073,0.6214548110708102,0.6492413133659156,0.67512757,0.64503217
hotel_14,2023-06-10,0.5660377358490566,0.6981132075471698,0.5856228761722997,0.6947239023312474,0.7042206129550264,0.6954551,0.6423006
hotel_14,2023-06-11,0.5660377358490566,0.4811320754716981,0.3625967115481431,0.5893359807381131,0.5378148615787515,0.4478143,0.43704975
hotel_14,2023-06-12,0.5660377358490566,0.37735849056603776,0.45754845204892763,0.5513746152005604,0.6095062838482648,0.51357,0.46319804
hotel_14,2023-06-13,0.5660377358490566,0.49056603773584906,0.5421698752690773,0.6126769332783569,0.6306627572711843,0.60792106,0.5723101
hotel_14,2023-06-14,0.5660377358490566,0.5471698113207547,0.5653450658290413,0.6349927651829634,0.6645819563086042,0.62386054,0.59388906
hotel_14,2023-06-15,0.5660377358490566,0.5188679245283019,0.5209390832107407,0.6159384205012144,0.6755058067282128,0.5910972,0.5535541
hotel_14,2023-06-16,0.5660377358490566,0.5660377358490566,0.5554432718610073,0.6452961352889999,0.7148885650776928,0.6800908,0.6490615
hotel_14,2023-06-17,0.5660377358490566,0.6981132075471698,0.5856228761722997,0.699305276076667,0.7763318612070487,0.7086369,0.65137726
hotel_14,2023-06-18,0.5660377358490566,0.4811320754716981,0.3625967115481431,0.6249089083786119,0.6093109079606818,0.4423179,0.4358044
hotel_14,2023-06-19,0.5660377358490566,0.37735849056603776,0.45754845204892763,0.6020403099700405,0.6619648900967721,0.5090854,0.4605708
hotel_14,2023-06-20,0.5660377358490566,0.49056603773584906,0.5421698752690773,0.6471161611116294,0.7014713389349233,0.58097607,0.55645394
hotel_14,2023-06-21,0.5660377358490566,0.5471698113207547,0.5653450658290413,0.66112313378022,0.6999404377977012,0.63102674,0.57129586
hotel_14,2023-06-22,0.5660377358490566,0.5188679245283019,0.5209390832107407,0.6459992148804078,0.6900490353188465,0.61178803,0.5508597
hotel_14,2023-06-23,0.5660377358490566,0.5660377358490566,0.5554432718610073,0.6687026971380501,0.7175916121778757,0.6501534,0.6477188
hotel_14,2023-06-24,0.5660377358490566,0.6981132075471698,0.5856228761722997,0.708636258403097,0.777110222745093,0.7127391,0.6708963
hotel_14,2023-06-25,0.5660377358490566,0.4811320754716981,0.3625967115481431,0.6525160800322365,0.6110512135255961,0.47064054,0.4660236
hotel_14,2023-06-26,0.5660377358490566,0.37735849056603776,0.45754845204892763,0.6338768846751894,0.6427098979372571,0.51746637,0.48659742
hotel_14,2023-06-27,0.5660377358490566,0.49056603773584906,0.5421698752690773,0.6672431621047047,0.7002884704355723,0.6126415,0.57730716
hotel_14,2023-06-28,0.5660377358490566,0.5471698113207547,0.5653450658290413,0.6784263319960872,0.7135309065501992,0.6560657,0.591938
hotel_14,2023-06-29,0.5660377358490566,0.5188679245283019,0.5209390832107407,0.6676088836518999,0.739077338757725,0.5964696,0.5705838
hotel_14,2023-06-30,0.5660377358490566,0.5660377358490566,0.5554432718610073,0.6840357511135586,0.7802961957389938,0.676906,0.66382885
hotel_21,2023-06-03,1.0,1.0092592592592593,0.9965671900805182,1.016945337507812,0.9768405867927313,0.99672264,1.0055534
hotel_21,2023-06-04,1.0,1.0046296296296295,0.9338321213004529,0.9571505033306643,0.9478988915846491,0.9440748,0.9522338
hotel_21,2023-06-05,1.0,0.75,0.9388737130839176,0.9282317136162485,0.9163463990120972,0.9024608,0.90620124
hotel_21,2023-06-06,1.0,0.75,0.9832132560252524,0.9559672089971948,0.9120492936897707,0.9211316,0.9378889
hotel_21,2023-06-07,1.0,0.8981481481481481,1.0058085506131955,0.9743969994832338,0.9150548974443093,0.95120156,0.96007484
hotel_21,2023-06-08,1.0,0.9444444444444444,1.0019568781737052,0.9740090812929051,0.9193363296670817,0.9622115,0.95819116
hotel_21,2023-06-09,1.0,1.0,0.9885692352917795,0.9679790965623747,0.9714306875688635,0.98386,0.9757598
hotel_21,2023-06-10,1.0,1.0092592592592593,0.9965671900805182,0.9914702484658845,0.9850105489405967,0.9980581,0.9951096
hotel_21,2023-06-11,1.0,1.0046296296296295,0.9338321213004529,0.9467525428833454,0.9102520555441158,0.9438804,0.9416503
hotel_21,2023-06-12,1.0,0.75,0.9388737130839176,0.8996077566172674,0.8950664407265414,0.89390326,0.897989
hotel_21,2023-06-13,1.0,0.75,0.9832132560252524,0.9241572963758364,0.8632913712295563,0.9145671,0.93090904
hotel_21,2023-06-14,1.0,0.8981481481481481,1.0058085506131955,0.9563895895750257,0.8617982978045617,0.93946487,0.9614354
hotel_21,2023-06-15,1.0,0.9444444444444444,1.0019568781737052,0.9625946144638193,0.8862727952406729,0.95730656,0.9589249
hotel_21,2023-06-16,1.0,1.0,0.9885692352917795,0.9653527223024511,0.9332052816315296,0.9789632,0.979051
hotel_21,2023-06-17,1.0,1.0092592592592593,0.9965671900805182,0.9874717591085039,0.9554823728913351,1.0014269,0.993984
hotel_21,2023-06-18,1.0,1.0046296296296295,0.9338321213004529,0.9460770406773531,0.8749994720514627,0.94074804,0.9425838
hotel_21,2023-06-19,1.0,0.75,0.9388737130839176,0.902379449671688,0.8963341927677455,0.8784262,0.8997546
hotel_21,2023-06-20,1.0,0.75,0.9832132560252524,0.9253457519689697,0.9143464544405893,0.9145689,0.93258005
hotel_21,2023-06-21,1.0,0.8981481481481481,1.0058085506131955,0.9554319604229302,0.9060876059433532,0.9499974,0.9667984
hotel_21,2023-06-22,1.0,0.9444444444444444,1.0019568781737052,0.9612827466372097,0.9033871717712251,0.95614547,0.95668
hotel_21,2023-06-23,1.0,1.0,0.9885692352917795,0.963909864911968,0.9351462516105735,0.9729905,0.97990704
hotel_21,2023-06-24,1.0,1.0092592592592593,0.9965671900805182,0.9845357011772762,0.9332176784171441,0.9955453,0.99917024
hotel_21,2023-06-25,1.0,1.0046296296296295,0.9338321213004529,0.9460626844988105,0.8498680991699182,0.94320107,0.9494789
hotel_21,2023-06-26,1.0,0.75,0.9388737130839176,0.9054391142633161,0.8747529717266692,0.8939361,0.89686775
hotel_21,2023-06-27,1.0,0.75,0.9832132560252524,0.9268282997039126,0.8876620362685678,0.91180515,0.9233246
hotel_21,2023-06-28,1.0,0.8981481481481481,1.0058085506131955,0.954836324899477,0.9029380424138093,0.939403,0.9625678
hotel_21,2023-06-29,1.0,0.9444444444444444,1.0019568781737052,0.9602936060361156,0.8959413808608306,0.9593037,0.9582202
hotel_21,2023-06-30,1.0,1.0,0.9885692352917795,0.9627487629476702,0.942491295125377,0.9763151,0.9793147
hotel_28,2023-06-03,0.0,0.0,0.003992629034369841,7.018307866135182e-05,0.004356143679833232,-0.0018720403,0.0010340586
hotel_28,2023-06-04,0.0,0.0,0.008391101010824461,1.7301321064412337e-05,-0.0016158131465399228,-0.00033851154,0.00010158867
hotel_28,2023-06-05,0.0,0.0,0.008466188792888133,-3.2115476743861375e-05,0.0023393973780375856,0.0004185997,-0.0014901385
