unique_id,cutoff,metric,Naive,SeasonalNaive,AutoETS,AutoARIMA
hotel_70,2023-02-10,bias,0.03837719298245616,-0.07315162907268169,-0.05969260417375503,0.022112223294505334
hotel_77,2023-02-10,bias,0.0,0.0,0.00025685737452112785,-1.6014404428181283e-08
hotel_84,2023-02-10,bias,0.06957488877904107,-0.06883341571922887,-0.056858837124692196,-0.11457952545137122
hotel_91,2023-02-10,bias,-0.18900481540930977,0.07263242375601926,-0.1161718914351827,-0.0175045936148141
hotel_98,2023-02-10,bias,-0.19210829493087558,-0.21860599078341014,-0.2549711469081382,-0.1851826206280059
hotel_0,2023-03-10,bias,0.09656084656084654,0.01014109347442682,-0.006513779718504898,0.04092312434716968
hotel_105,2023-03-10,bias,0.0029200359389038983,-0.08872416891284818,-0.11801350782011764,-0.07614798571959427
hotel_112,2023-03-10,bias,0.03995535714285719,-0.005580357142857163,-0.014506203825716534,-0.028469113979920184
hotel_126,2023-03-10,bias,-0.0008537279453614108,-0.002561183836084232,-0.05034112712797502,-0.007488011818961364
hotel_133,2023-03-10,bias,-0.06733021077283376,-0.09309133489461356,-0.12586338862725927,-0.1981834898335328
hotel_14,2023-03-10,bias,0.16071428571428575,0.012466307277628054,0.07920371631398851,0.024164123266496175
hotel_21,2023-03-10,bias,0.007771164021163989,-0.004794973544973539,0.0015486258521188218,-0.025652253712693713
hotel_28,2023-03-10,bias,-0.0008928571428571429,-0.0008928571428571429,0.00758969329997358,-0.0015392977677216614
hotel_35,2023-03-10,bias,-0.11990792410714286,-0.04736328125,-0.07257767389644444,-0.16059526556738973
hotel_42,2023-03-10,bias,-0.3108733371891267,0.06333140543666858,-0.21018888004848743,0.009506949012264124
hotel_49,2023-03-10,bias,-0.03976918278228319,-0.012320648783530884,-0.08241717808436577,0.020270462526472417
hotel_56,2023-03-10,bias,0.01011904761904762,-0.0029761904761904773,-0.015413938232951337,-0.04164748125873498
hotel_63,2023-03-10,bias,0.1838095238095238,-0.10761904761904763,0.05368492986527022,-0.09000938349208985
hotel_7,2023-03-10,bias,0.23441135411819447,0.1285481619357841,0.1315165232674896,0.09901864078684205
hotel_70,2023-03-10,bias,-0.004855889724310802,0.01018170426065162,-0.09617807937501295,-0.055077702639411655
hotel_77,2023-03-10,bias,0.0,0.0,0.0001143542662811663,5.547893807772903e-10
hotel_84,2023-03-10,bias,0.20785961443400894,0.0625308947108255,0.042468935405234366,0.015765774735258264
hotel_91,2023-03-10,bias,-0.12841091492776882,-0.18619582664526482,-0.16465008589731284,-0.1388113975740893
hotel_98,2023-03-10,bias,0.18922811059907832,0.03254608294930876,0.10937997270947886,0.026573135493064292
hotel_0,2023-04-07,bias,0.3262786596119929,0.34567901234567894,0.2740498616830464,0.3048355507926977
hotel_105,2023-04-07,bias,0.16127583108715185,-0.02830188679245282,0.025023163881863854,-0.004154659026093244
hotel_112,2023-04-07,bias,-0.1611607142857143,-0.07008928571428573,-0.09603291203554475,0.0018719827625691171
hotel_126,2023-04-07,bias,0.023477518497438815,0.026323278315310183,-0.021805462290823707,0.03842476377259544
hotel_133,2023-04-07,bias,0.11943793911007027,0.10772833723653395,0.07290523100075573,0.08665877321625486
hotel_14,2023-04-07,bias,-0.06469002695417796,-0.029649595687331557,-0.07132381880121084,-0.05114865696106644
hotel_21,2023-04-07,bias,0.0049603174603174306,0.010912698412698393,-0.0016188253287529003,0.017466207128898254
hotel_28,2023-04-07,bias,0.0,0.0,0.007165544864879978,7.913137693376462e-05
hotel_35,2023-04-07,bias,-0.25313895089285715,-0.14376395089285715,-0.2253010071825968,-0.3716592676034572
hotel_42,2023-04-07,bias,-0.2261422787738577,-0.058993637941006365,-0.19593946427657144,-0.0775564189697393
hotel_49,2023-04-07,bias,0.10199625701809112,0.0988771054273238,0.059158553923971194,0.10755109299746539
hotel_56,2023-04-07,bias,0.01934523809523805,0.02886904761904762,-0.0023002628276822296,-0.012722057259153957
hotel_63,2023-04-07,bias,0.16095238095238099,0.09999999999999999,0.064823946395189,0.09750613815514404
hotel_7,2023-04-07,bias,0.0923685435086087,-0.09865053513261982,-0.01941971203070954,-0.004356173872493168
hotel_70,2023-04-07,bias,-0.018170426065162924,0.07957393483709273,-0.07550437369185801,-0.041771256695507686
hotel_77,2023-04-07,bias,0.0,0.0,0.00010418120519029215,-6.787862666639236e-13
hotel_84,2023-04-07,bias,-0.11134453781512607,0.06512605042016807,-0.12445694186073039,-0.007770332560339571
hotel_91,2023-04-07,bias,0.2772873194221509,0.19060995184590693,0.25359435005901354,0.15109318895921478
hotel_98,2023-04-07,bias,0.22609447004608293,0.06365207373271889,0.13541074383922655,0.04011563132362274
hotel_0,2023-05-05,bias,0.2081128747795414,0.05820105820105819,0.098951231858518,0.08778209790712278
hotel_105,2023-05-05,bias,-0.03953279424977537,-0.15633423180592992,-0.132881436186755,-0.11566630487990522
hotel_112,2023-05-05,bias,-0.19977678571428567,-0.08459821428571428,-0.11823953652348758,-0.0831295063726867
hotel_126,2023-05-05,bias,0.01807057484348321,0.0032726237905520744,-0.018563053350096465,-0.005323694537835861
hotel_133,2023-05-05,bias,0.10421545667447309,-0.057377049180327856,0.03839387742132416,-0.003014292903558452
hotel_14,2023-05-05,bias,0.2695417789757413,0.1778975741239892,0.16816379227072312,0.14562404989957742
hotel_21,2023-05-05,bias,0.05803571428571427,-0.010085978835978834,0.050549966752726605,0.03424097193661909
hotel_28,2023-05-05,bias,0.0,0.0,0.0053445905479405495,-9.583644620401454e-05
hotel_35,2023-05-05,bias,-0.0016741071428571428,0.08537946428571429,0.02543355418330795,-0.0294653404362075
hotel_42,2023-05-05,bias,0.31058415268941586,0.11220358588779641,0.2269717221490559,0.03265397281090191
hotel_49,2023-05-05,bias,0.12008733624454156,0.055832813474734885,0.07780292730914126,0.08297562819303435
hotel_56,2023-05-05,bias,0.11130952380952386,0.03988095238095239,0.07279087122936555,0.05690878778634244
hotel_63,2023-05-05,bias,0.123015873015873,-0.07063492063492063,-0.06523361501030028,-0.03400319132282784
hotel_7,2023-05-05,bias,0.13750581665891112,0.0472312703583062,0.008806589219311772,-0.07934253715877689
hotel_70,2023-05-05,bias,-0.030231829573934856,-0.10166040100250627,-0.08910783985561255,-0.13849279018857788
hotel_77,2023-05-05,bias,0.0,0.0,-4.548953562525075e-05,5.407155895296559e-14
hotel_84,2023-05-05,bias,0.030647553138902658,-0.09144834404349973,-0.09043286836283485,-0.059498814282291645
hotel_91,2023-05-05,bias,0.0557784911717496,-0.242776886035313,0.0038883605458236237,-0.15668184597156468
hotel_98,2023-05-05,bias,0.1126152073732719,0.15754608294930875,0.026552295158050482,0.04469407369670383
hotel_0,2023-01-13,mae,0.13359788359788358,0.2720458553791887,0.1714341558572698,0.24981685051425057
hotel_105,2023-01-13,mae,0.38881401617250677,0.11253369272237194,0.14911801526014085,0.13444612981129697
hotel_112,2023-01-13,mae,0.3046875,0.16718750000000002,0.18185751148712972,0.1636433444642124
hotel_126,2023-01-13,mae,0.1400113830392715,0.12293682413204325,0.11741531793130819,0.1242117001175366
hotel_133,2023-01-13,mae,0.2529274004683841,0.17681498829039813,0.25972896751885144,0.1543140469286615
hotel_14,2023-01-13,mae,0.07749326145552562,0.12129380053908359,0.05652291920521007,0.0869778528004608
hotel_21,2023-01-13,mae,0.13359788359788358,0.04365079365079364,0.12374543745560988,0.0775349526308726
hotel_28,2023-01-13,mae,0.0,0.0,0.05609470061957013,0.011572572100827053
hotel_35,2023-01-13,mae,0.07017299107142858,0.0908203125,0.07797729688211116,0.0745180267437057
hotel_42,2023-01-13,mae,0.3034991324465009,0.3332851359167148,0.2327404945015976,0.22443348514675823
hotel_49,2023-01-13,mae,0.053649407361197735,0.06238303181534621,0.05210378529900998,0.06258133678438425
hotel_56,2023-01-13,mae,0.06309523809523808,0.03392857142857143,0.05665423988948293,0.06047521013738609
hotel_63,2023-01-13,mae,0.2461904761904762,0.2811111111111111,0.17359453346934525,0.18843425699329863
hotel_7,2023-01-13,mae,0.10818985574685903,0.04571893904141462,0.027253284212153266,0.03249747904739093
hotel_70,2023-01-13,mae,0.06406641604010026,0.06531954887218046,0.08607291323055255,0.05783121225656194
hotel_77,2023-01-13,mae,0.0,0.0,0.0033869137452352317,4.318002895799668e-07
hotel_84,2023-01-13,mae,0.32933761739990114,0.2564260998517054,0.2425891678042638,0.251500160004446
hotel_91,2023-01-13,mae,0.20906902086677365,0.12158908507223112,0.17549715812403235,0.1519808953033762
hotel_98,2023-01-13,mae,0.1359447004608295,0.09389400921658987,0.06948671229028618,0.10041202587453053
hotel_0,2023-02-10,mae,0.20194003527336862,0.17548500881834214,0.20900664342649597,0.12060659088577366
hotel_105,2023-02-10,mae,0.19519317160826596,0.10175202156334232,0.08395135597180385,0.09131738985628125
hotel_112,2023-02-10,mae,0.12120535714285717,0.1064732142857143,0.09992872208012414,0.07969663783761112
hotel_126,2023-02-10,mae,0.1115537848605578,0.11980648833238476,0.11406415848035419,0.10939295105735823
hotel_133,2023-02-10,mae,0.1762295081967213,0.16920374707259953,0.162097464570587,0.14759210558958438
hotel_14,2023-02-10,mae,0.12196765498652291,0.10579514824797843,0.09853422342523692,0.11160448372150414
hotel_21,2023-02-10,mae,0.013888888888888867,0.014219576719576715,0.01738435541520594,0.051956793318852834
hotel_28,2023-02-10,mae,0.0,0.0,0.01942462093979817,0.0025847488743147616
hotel_35,2023-02-10,mae,0.17494419642857142,0.18150111607142858,0.14263219980786093,0.11432876442092876
hotel_42,2023-02-10,mae,0.2495662232504338,0.26778484673221514,0.2845055192777247,0.2109868303207478
hotel_49,2023-02-10,mae,0.1615720524017467,0.15626949469744228,0.11042435323378223,0.11827164359786854
hotel_56,2023-02-10,mae,0.07261904761904758,0.028571428571428557,0.051687809782003505,0.05894345678238471
hotel_63,2023-02-10,mae,0.1865079365079365,0.22904761904761903,0.18435204800959687,0.18932523266110887
hotel_7,2023-02-10,mae,0.061365751512331326,0.06927640763145651,0.0831464578201191,0.06999260657826412
hotel_70,2023-02-10,mae,0.05059523809523809,0.0838032581453634,0.06918747597794982,0.040916999432852506
hotel_77,2023-02-10,mae,0.0,0.0,0.0018636221162468159,1.6014404428181283e-08
hotel_84,2023-02-10,mae,0.19834404349975285,0.17684132476520018,0.17997192392411726,0.1999105988631031
hotel_91,2023-02-10,mae,0.2026484751203852,0.15930979133226322,0.13960034148144346,0.12988445561307807
hotel_98,2023-02-10,mae,0.19729262672811057,0.21860599078341014,0.2549711469081382,0.1851826206280059
hotel_0,2023-03-10,mae,0.0974426807760141,0.09656084656084654,0.09054138318980261,0.08238071336433664
hotel_105,2023-03-10,mae,0.10489667565139264,0.10849056603773587,0.1293912975231385,0.11557025395816638
hotel_112,2023-03-10,mae,0.09174107142857144,0.09977678571428573,0.09918374217916882,0.09830190562480737
hotel_126,2023-03-10,mae,0.00739897552646556,0.010813887307911203,0.060393995589153815,0.03335351491745776
