unique_id,ds,cutoff,NBEATS,NHITS,y
hotel_0,2023-06-01,2023-05-05,0.74564826,0.8026246,0.43209876543209874
hotel_0,2023-06-02,2023-05-05,0.82309544,0.86610234,0.691358024691358
hotel_105,2023-01-14,2023-01-13,1.0061351,0.94660383,0.9371069182389937
hotel_105,2023-01-15,2023-01-13,0.686385,0.734567,0.4528301886792453
hotel_105,2023-01-16,2023-01-13,0.7114595,0.7050476,0.4088050314465409
hotel_105,2023-01-17,2023-01-13,0.7976351,0.75154746,0.5094339622641509
hotel_105,2023-01-18,2023-01-13,0.7517493,0.7666942,0.4716981132075472
hotel_105,2023-01-19,2023-01-13,0.8032744,0.8307748,0.5094339622641509
hotel_105,2023-01-20,2023-01-13,0.9468668,0.95855343,0.8050314465408805
hotel_105,2023-01-21,2023-01-13,0.9661997,0.9089089,0.8364779874213837
hotel_105,2023-01-22,2023-01-13,0.69857454,0.71701723,0.4339622641509434
hotel_105,2023-01-23,2023-01-13,0.71219265,0.69940305,0.5094339622641509
hotel_105,2023-01-24,2023-01-13,0.7527226,0.7502741,0.5408805031446541
hotel_105,2023-01-25,2023-01-13,0.763517,0.770376,0.5094339622641509
hotel_105,2023-01-26,2023-01-13,0.81230474,0.85299265,0.5723270440251572
hotel_105,2023-01-27,2023-01-13,0.9333153,0.9603344,0.5911949685534591
hotel_105,2023-01-28,2023-01-13,0.9586372,0.8961385,0.779874213836478
hotel_105,2023-01-29,2023-01-13,0.7108557,0.7052786,0.5031446540880503
hotel_105,2023-01-30,2023-01-13,0.684799,0.7007856,0.5849056603773585
hotel_105,2023-01-31,2023-01-13,0.7763869,0.7413068,0.5471698113207547
hotel_105,2023-02-01,2023-01-13,0.7383908,0.7684022,0.6666666666666666
hotel_105,2023-02-02,2023-01-13,0.82601404,0.83670235,0.6037735849056604
hotel_105,2023-02-03,2023-01-13,0.97247934,0.97122335,0.9308176100628931
hotel_105,2023-02-04,2023-01-13,0.9665784,0.9160602,0.9119496855345912
hotel_105,2023-02-05,2023-01-13,0.7016248,0.7273954,0.4968553459119497
hotel_105,2023-02-06,2023-01-13,0.7006649,0.7041812,0.6037735849056604
