unique_id,ds,cutoff,y,Naive,SeasonalNaive,AutoETS,AutoARIMA
hotel_14,2023-01-30,2023-01-13,0.7735849056603774,0.8207547169811321,0.6037735849056604,0.7028868456063262,0.6773131729236038
hotel_14,2023-01-31,2023-01-13,0.7452830188679245,0.8207547169811321,0.660377358490566,0.7882539680148508,0.7032567900871779
hotel_14,2023-02-01,2023-01-13,0.8207547169811321,0.8207547169811321,0.6792452830188679,0.8102908875153246,0.7263081381272105
hotel_14,2023-02-02,2023-01-13,0.7735849056603774,0.8207547169811321,0.7830188679245284,0.7642739547247098,0.7379434488814742
hotel_14,2023-02-03,2023-01-13,0.8113207547169812,0.8207547169811321,0.8207547169811321,0.7878256825368447,0.7406781767776877
hotel_14,2023-02-04,2023-01-13,0.8584905660377359,0.8207547169811321,0.6981132075471698,0.8217773109330067,0.7424727863204477
hotel_14,2023-02-05,2023-01-13,0.4528301886792453,0.8207547169811321,0.44339622641509435,0.6043357084061426,0.6665374587830806
hotel_14,2023-02-06,2023-01-13,0.6886792452830188,0.8207547169811321,0.6037735849056604,0.7028868456063262,0.6920138109759641
hotel_14,2023-02-07,2023-01-13,0.7830188679245284,0.8207547169811321,0.660377358490566,0.7882539680148508,0.7107712408449464
hotel_14,2023-02-08,2023-01-13,0.7641509433962265,0.8207547169811321,0.6792452830188679,0.8102908875153246,0.7258994283143962
hotel_14,2023-02-09,2023-01-13,0.8962264150943396,0.8207547169811321,0.7830188679245284,0.7642739547247098,0.7381669197870453
hotel_14,2023-02-10,2023-01-13,0.7547169811320755,0.8207547169811321,0.8207547169811321,0.7878256825368447,0.741704412148519
hotel_14,2023-02-11,2023-02-10,0.7830188679245284,0.7547169811320755,0.8584905660377359,0.8320672634231122,0.8033134194439062
hotel_14,2023-02-12,2023-02-10,0.4716981132075472,0.7547169811320755,0.4528301886792453,0.614554983554092,0.5808196447538181
hotel_14,2023-02-13,2023-02-10,0.660377358490566,0.7547169811320755,0.6886792452830188,0.7113751219938282,0.7210449193070059
hotel_14,2023-02-14,2023-02-10,0.8301886792452831,0.7547169811320755,0.7830188679245284,0.794700667293519,0.7517872472713559
hotel_14,2023-02-15,2023-02-10,0.9245283018867925,0.7547169811320755,0.7641509433962265,0.8161551212420672,0.767578509248635
hotel_14,2023-02-16,2023-02-10,0.9433962264150944,0.7547169811320755,0.8962264150943396,0.7746484503395785,0.8041861996618432
hotel_14,2023-02-17,2023-02-10,0.9716981132075472,0.7547169811320755,0.7547169811320755,0.7946384281986,0.7632242128238034
hotel_14,2023-02-18,2023-02-10,0.9433962264150944,0.7547169811320755,0.8584905660377359,0.8320672634231122,0.794240371718602
hotel_14,2023-02-19,2023-02-10,0.8962264150943396,0.7547169811320755,0.4528301886792453,0.614554983554092,0.6019525689623935
hotel_14,2023-02-20,2023-02-10,0.9339622641509434,0.7547169811320755,0.6886792452830188,0.7113751219938282,0.7179135574130093
hotel_14,2023-02-21,2023-02-10,0.9339622641509434,0.7547169811320755,0.7830188679245284,0.794700667293519,0.7550195147951624
hotel_14,2023-02-22,2023-02-10,0.9905660377358491,0.7547169811320755,0.7641509433962265,0.8161551212420672,0.7556728584149536
hotel_14,2023-02-23,2023-02-10,0.9056603773584906,0.7547169811320755,0.8962264150943396,0.7746484503395785,0.8052123820684614
hotel_14,2023-02-24,2023-02-10,0.8962264150943396,0.7547169811320755,0.7547169811320755,0.7946384281986,0.7515176558798817
hotel_14,2023-02-25,2023-02-10,0.8773584905660378,0.7547169811320755,0.8584905660377359,0.8320672634231122,0.7761750331674458
hotel_14,2023-02-26,2023-02-10,0.6886792452830188,0.7547169811320755,0.4528301886792453,0.614554983554092,0.6448738765228393
hotel_14,2023-02-27,2023-02-10,0.7830188679245284,0.7547169811320755,0.6886792452830188,0.7113751219938282,0.7257121185528356
hotel_14,2023-02-28,2023-02-10,0.7452830188679245,0.7547169811320755,0.7830188679245284,0.794700667293519,0.7477168625909308
hotel_14,2023-03-01,2023-02-10,0.7830188679245284,0.7547169811320755,0.7641509433962265,0.8161551212420672,0.7522740002556939
hotel_14,2023-03-02,2023-02-10,0.660377358490566,0.7547169811320755,0.8962264150943396,0.7746484503395785,0.7804387941985186
hotel_14,2023-03-03,2023-02-10,0.8490566037735849,0.7547169811320755,0.7547169811320755,0.7946384281986,0.74956089531519
hotel_14,2023-03-04,2023-02-10,0.8584905660377359,0.7547169811320755,0.8584905660377359,0.8320672634231122,0.7670776733812058
hotel_14,2023-03-05,2023-02-10,0.4528301886792453,0.7547169811320755,0.4528301886792453,0.614554983554092,0.6663842800244026
hotel_14,2023-03-06,2023-02-10,0.6509433962264151,0.7547169811320755,0.6886792452830188,0.7113751219938282,0.7277152665933563
hotel_14,2023-03-07,2023-02-10,0.7547169811320755,0.7547169811320755,0.7830188679245284,0.794700667293519,0.7459248117389309
hotel_14,2023-03-08,2023-02-10,0.7830188679245284,0.7547169811320755,0.7641509433962265,0.8161551212420672,0.7477736055368681
hotel_14,2023-03-09,2023-02-10,0.7830188679245284,0.7547169811320755,0.8962264150943396,0.7746484503395785,0.7716401591674457
hotel_14,2023-03-10,2023-02-10,0.8867924528301887,0.7547169811320755,0.7547169811320755,0.7946384281986,0.7456432210019458
hotel_14,2023-03-11,2023-03-10,0.8584905660377359,0.8867924528301887,0.8584905660377359,0.8740486839770442,0.856209563894388
hotel_14,2023-03-12,2023-03-10,0.7169811320754716,0.8867924528301887,0.4528301886792453,0.6555190639225442,0.6385674203518739
hotel_14,2023-03-13,2023-03-10,0.7547169811320755,0.8867924528301887,0.6509433962264151,0.7539288416685888,0.728919909805891
hotel_14,2023-03-14,2023-03-10,0.7641509433962265,0.8867924528301887,0.7547169811320755,0.8354383180508076,0.7534123612835427
hotel_14,2023-03-15,2023-03-10,0.8018867924528302,0.8867924528301887,0.7830188679245284,0.8595639240562826,0.7712695980294831
hotel_14,2023-03-16,2023-03-10,0.8113207547169812,0.8867924528301887,0.7830188679245284,0.8174468756784556,0.7379894192324491
hotel_14,2023-03-17,2023-03-10,0.8867924528301887,0.8867924528301887,0.8867924528301887,0.8410274766555175,0.8252872389972788
hotel_14,2023-03-18,2023-03-10,0.8867924528301887,0.8867924528301887,0.8584905660377359,0.8740486839770442,0.8158060344467565
hotel_14,2023-03-19,2023-03-10,0.5377358490566038,0.8867924528301887,0.4528301886792453,0.6555190639225442,0.628279180788285
hotel_14,2023-03-20,2023-03-10,0.5,0.8867924528301887,0.6509433962264151,0.7539288416685888,0.7136253654120285
hotel_14,2023-03-21,2023-03-10,0.7264150943396226,0.8867924528301887,0.7547169811320755,0.8354383180508076,0.7497341026787113
hotel_14,2023-03-22,2023-03-10,0.6792452830188679,0.8867924528301887,0.7830188679245284,0.8595639240562826,0.7637696103525063
hotel_14,2023-03-23,2023-03-10,0.6981132075471698,0.8867924528301887,0.7830188679245284,0.8174468756784556,0.7512246233168549
hotel_14,2023-03-24,2023-03-10,0.8113207547169812,0.8867924528301887,0.8867924528301887,0.8410274766555175,0.8110267883447633
hotel_14,2023-03-25,2023-03-10,0.8113207547169812,0.8867924528301887,0.8584905660377359,0.8740486839770442,0.7995071932545995
hotel_14,2023-03-26,2023-03-10,0.49056603773584906,0.8867924528301887,0.4528301886792453,0.6555190639225442,0.6723880138492326
hotel_14,2023-03-27,2023-03-10,0.5283018867924528,0.8867924528301887,0.6509433962264151,0.7539288416685888,0.7279783106514512
hotel_14,2023-03-28,2023-03-10,0.7830188679245284,0.8867924528301887,0.7547169811320755,0.8354383180508076,0.7479293712644184
hotel_14,2023-03-29,2023-03-10,0.7547169811320755,0.8867924528301887,0.7830188679245284,0.8595639240562826,0.7578501501454854
hotel_14,2023-03-30,2023-03-10,0.5566037735849056,0.8867924528301887,0.7830188679245284,0.8174468756784556,0.7444826141111321
hotel_14,2023-03-31,2023-03-10,0.7075471698113207,0.8867924528301887,0.8867924528301887,0.8410274766555175,0.7896678789128064
hotel_14,2023-04-01,2023-03-10,0.8867924528301887,0.8867924528301887,0.8584905660377359,0.8740486839770442,0.7828693705675329
hotel_14,2023-04-02,2023-03-10,0.6037735849056604,0.8867924528301887,0.4528301886792453,0.6555190639225442,0.6863108666778214
hotel_14,2023-04-03,2023-03-10,0.6792452830188679,0.8867924528301887,0.6509433962264151,0.7539288416685888,0.7294041647084358
hotel_14,2023-04-04,2023-03-10,0.7830188679245284,0.8867924528301887,0.7547169811320755,0.8354383180508076,0.7462934047194514
hotel_14,2023-04-05,2023-03-10,0.8679245283018868,0.8867924528301887,0.7830188679245284,0.8595639240562826,0.7536733266235232
hotel_14,2023-04-06,2023-03-10,0.7264150943396226,0.8867924528301887,0.7830188679245284,0.8174468756784556,0.745383493551299
hotel_14,2023-04-07,2023-03-10,0.7169811320754716,0.8867924528301887,0.8867924528301887,0.8410274766555175,0.7779247547351742
hotel_14,2023-04-08,2023-04-07,0.7452830188679245,0.7169811320754716,0.8867924528301887,0.7828058597207943,0.7989526049516341
hotel_14,2023-04-09,2023-04-07,0.5188679245283019,0.7169811320754716,0.6037735849056604,0.56104881444875,0.6136391321457655
hotel_14,2023-04-10,2023-04-07,0.7735849056603774,0.7169811320754716,0.6792452830188679,0.6551063234431023,0.6563604503630358
hotel_14,2023-04-11,2023-04-07,0.8207547169811321,0.7169811320754716,0.7830188679245284,0.7408713026576794,0.7651243907476758
hotel_14,2023-04-12,2023-04-07,0.8113207547169812,0.7169811320754716,0.8679245283018868,0.7644930175278304,0.7913262200345197
hotel_14,2023-04-13,2023-04-07,0.7830188679245284,0.7169811320754716,0.7264150943396226,0.7204528302132626,0.6857513918389145
hotel_14,2023-04-14,2023-04-07,0.8773584905660378,0.7169811320754716,0.7169811320754716,0.7476532335876525,0.7221430158103287
hotel_14,2023-04-15,2023-04-07,0.8584905660377359,0.7169811320754716,0.8867924528301887,0.7828058597207943,0.8007885122237705
hotel_14,2023-04-16,2023-04-07,0.5943396226415094,0.7169811320754716,0.6037735849056604,0.56104881444875,0.6556183542565707
hotel_14,2023-04-17,2023-04-07,0.7547169811320755,0.7169811320754716,0.6792452830188679,0.6551063234431023,0.6918489033086881
hotel_14,2023-04-18,2023-04-07,0.8867924528301887,0.7169811320754716,0.7830188679245284,0.7408713026576794,0.7607598135316785
hotel_14,2023-04-19,2023-04-07,0.8773584905660378,0.7169811320754716,0.8679245283018868,0.7644930175278304,0.7931108237643463
hotel_14,2023-04-20,2023-04-07,0.7924528301886793,0.7169811320754716,0.7264150943396226,0.7204528302132626,0.7155421097012631
hotel_14,2023-04-21,2023-04-07,0.8584905660377359,0.7169811320754716,0.7169811320754716,0.7476532335876525,0.7269914559217772
hotel_14,2023-04-22,2023-04-07,0.8113207547169812,0.7169811320754716,0.8867924528301887,0.7828058597207943,0.7786234146945519
hotel_14,2023-04-23,2023-04-07,0.6132075471698113,0.7169811320754716,0.6037735849056604,0.56104881444875,0.6743879399697125
hotel_14,2023-04-24,2023-04-07,0.6981132075471698,0.7169811320754716,0.6792452830188679,0.6551063234431023,0.699476359614603
hotel_14,2023-04-25,2023-04-07,0.7641509433962265,0.7169811320754716,0.7830188679245284,0.7408713026576794,0.754421833365547
hotel_14,2023-04-26,2023-04-07,0.8207547169811321,0.7169811320754716,0.8679245283018868,0.7644930175278304,0.7736846516866774
hotel_14,2023-04-27,2023-04-07,0.7452830188679245,0.7169811320754716,0.7264150943396226,0.7204528302132626,0.7162651597084605
hotel_14,2023-04-28,2023-04-07,0.8490566037735849,0.7169811320754716,0.7169811320754716,0.7476532335876525,0.730208260701935
hotel_14,2023-04-29,2023-04-07,0.9056603773584906,0.7169811320754716,0.8867924528301887,0.7828058597207943,0.7706282679790238
hotel_14,2023-04-30,2023-04-07,0.8490566037735849,0.7169811320754716,0.6037735849056604,0.56104881444875,0.6926015525989461
hotel_14,2023-05-01,2023-04-07,0.7169811320754716,0.7169811320754716,0.6792452830188679,0.6551063234431023,0.7117206582212046
hotel_14,2023-05-02,2023-04-07,0.7358490566037735,0.7169811320754716,0.7830188679245284,0.7408713026576794,0.7508504937680697
hotel_14,2023-05-03,2023-04-07,0.839622641509434,0.7169811320754716,0.8679245283018868,0.7644930175278304,0.766721277663172
hotel_14,2023-05-04,2023-04-07,0.6886792452830188,0.7169811320754716,0.7264150943396226,0.7204528302132626,0.724369906046885
hotel_14,2023-05-05,2023-04-07,0.8962264150943396,0.7169811320754716,0.7169811320754716,0.7476532335876525,0.732713103301572
hotel_14,2023-05-06,2023-05-05,0.8490566037735849,0.8962264150943396,0.9056603773584906,0.8663346648069361,0.8683317706893654
hotel_14,2023-05-07,2023-05-05,0.5,0.8962264150943396,0.8490566037735849,0.6461266607877674,0.7748986726701632
hotel_14,2023-05-08,2023-05-05,0.7452830188679245,0.8962264150943396,0.7169811320754716,0.7405642235807386,0.7346272889042548
hotel_14,2023-05-09,2023-05-05,0.8207547169811321,0.8962264150943396,0.7358490566037735,0.8247546292651876,0.753146222203373
hotel_14,2023-05-10,2023-05-05,0.7641509433962265,0.8962264150943396,0.839622641509434,0.8491698015052493,0.8049153529930342
hotel_14,2023-05-11,2023-05-05,0.8113207547169812,0.8962264150943396,0.6886792452830188,0.802230316630909,0.7250993663503381
hotel_14,2023-05-12,2023-05-05,0.8018867924528302,0.8962264150943396,0.8962264150943396,0.8347587021484625,0.8315992142058256
hotel_14,2023-05-13,2023-05-05,0.6981132075471698,0.8962264150943396,0.9056603773584906,0.8663346648069361,0.834895067242329
hotel_14,2023-05-14,2023-05-05,0.4056603773584906,0.8962264150943396,0.8490566037735849,0.6461266607877674,0.783722083612215
hotel_14,2023-05-15,2023-05-05,0.6792452830188679,0.8962264150943396,0.7169811320754716,0.7405642235807386,0.7338238914942051
hotel_14,2023-05-16,2023-05-05,0.6698113207547169,0.8962264150943396,0.7358490566037735,0.8247546292651876,0.7458135265723975
hotel_14,2023-05-17,2023-05-05,0.6981132075471698,0.8962264150943396,0.839622641509434,0.8491698015052493,0.7926836086495012
hotel_14,2023-05-18,2023-05-05,0.7075471698113207,0.8962264150943396,0.6886792452830188,0.802230316630909,0.7226732938760577
hotel_14,2023-05-19,2023-05-05,0.8018867924528302,0.8962264150943396,0.8962264150943396,0.8347587021484625,0.8176340315543811
hotel_14,2023-05-20,2023-05-05,0.7735849056603774,0.8962264150943396,0.9056603773584906,0.8663346648069361,0.811702457012454
hotel_14,2023-05-21,2023-05-05,0.49056603773584906,0.8962264150943396,0.8490566037735849,0.6461266607877674,0.7676903126206592
hotel_14,2023-05-22,2023-05-05,0.4716981132075472,0.8962264150943396,0.7169811320754716,0.7405642235807386,0.7379066255644205
hotel_14,2023-05-23,2023-05-05,0.5849056603773585,0.8962264150943396,0.7358490566037735,0.8247546292651876,0.7473456855106194
hotel_14,2023-05-24,2023-05-05,0.5566037735849056,0.8962264150943396,0.839622641509434,0.8491698015052493,0.7789208017648032
hotel_14,2023-05-25,2023-05-05,0.4716981132075472,0.8962264150943396,0.6886792452830188,0.802230316630909,0.7311130112878723
hotel_14,2023-05-26,2023-05-05,0.5660377358490566,0.8962264150943396,0.8962264150943396,0.8347587021484625,0.7955031944045213
hotel_14,2023-05-27,2023-05-05,0.6981132075471698,0.8962264150943396,0.9056603773584906,0.8663346648069361,0.7940507052114734
