unique_id,cutoff,metric,LGBMRegressor
hotel_105,2023-01-13,mae,0.10416930733162114
hotel_112,2023-01-13,mae,0.25214158853457325
hotel_126,2023-01-13,mae,0.11855405059592612
hotel_133,2023-01-13,mae,0.20578543094882212
hotel_14,2023-01-13,mae,0.11612168486206358
hotel_21,2023-01-13,mae,0.13129194776498515
hotel_28,2023-01-13,mae,0.0031479817347443797
hotel_35,2023-01-13,mae,0.08425184609782822
hotel_42,2023-01-13,mae,0.21372339138194643
hotel_49,2023-01-13,mae,0.0723376097244967
hotel_56,2023-01-13,mae,0.05021149463683629
hotel_63,2023-01-13,mae,0.1788546993195546
hotel_7,2023-01-13,mae,0.10546316813401459
hotel_70,2023-01-13,mae,0.04501287973216826
hotel_77,2023-01-13,mae,0.0031479817347443797
hotel_84,2023-01-13,mae,0.22574716696498728
hotel_91,2023-01-13,mae,0.17258359779887295
hotel_98,2023-01-13,mae,0.12190265575344542
hotel_0,2023-02-10,mae,0.11256555179624769
hotel_105,2023-02-10,mae,0.09515810847715375
hotel_112,2023-02-10,mae,0.10260343472782171
hotel_126,2023-02-10,mae,0.13090806607326227
hotel_133,2023-02-10,mae,0.13356881426202358
hotel_14,2023-02-10,mae,0.08989054598738987
hotel_21,2023-02-10,mae,0.02571250637114525
hotel_28,2023-02-10,mae,0.010160681455824898
hotel_35,2023-02-10,mae,0.09056037187772067
hotel_42,2023-02-10,mae,0.1945336429233019
hotel_49,2023-02-10,mae,0.1151131627946815
hotel_56,2023-02-10,mae,0.03681041711578902
hotel_63,2023-02-10,mae,0.17138508140468436
hotel_7,2023-02-10,mae,0.06052120083099958
hotel_70,2023-02-10,mae,0.0714966135398245
hotel_77,2023-02-10,mae,0.010160681455824898
hotel_84,2023-02-10,mae,0.1759734644575975
hotel_91,2023-02-10,mae,0.11897609533655641
hotel_98,2023-02-10,mae,0.21582403537480657
hotel_0,2023-03-10,mae,0.09118798569336743
hotel_105,2023-03-10,mae,0.1116935981169527
hotel_112,2023-03-10,mae,0.0960537575216699
hotel_126,2023-03-10,mae,0.06642055124542766
hotel_133,2023-03-10,mae,0.1481980291833763
hotel_14,2023-03-10,mae,0.08515599107028651
hotel_21,2023-03-10,mae,0.03332501970239473
hotel_28,2023-03-10,mae,0.0041960663177944505
hotel_35,2023-03-10,mae,0.1014551922848133
hotel_42,2023-03-10,mae,0.2300580641465979
hotel_49,2023-03-10,mae,0.05511426747050539
hotel_56,2023-03-10,mae,0.03079872382179688
hotel_63,2023-03-10,mae,0.09712748304510448
hotel_7,2023-03-10,mae,0.2579607154072145
hotel_70,2023-03-10,mae,0.055133924073882075
hotel_77,2023-03-10,mae,0.003823623324033701
hotel_84,2023-03-10,mae,0.11502354744836249
hotel_91,2023-03-10,mae,0.16655486540449424
hotel_98,2023-03-10,mae,0.1554130620055447
hotel_0,2023-04-07,mae,0.2606938015380252
hotel_105,2023-04-07,mae,0.07284620258080754
hotel_112,2023-04-07,mae,0.09453442483133255
hotel_126,2023-04-07,mae,0.02578661435590948
hotel_133,2023-04-07,mae,0.09066521962681957
hotel_14,2023-04-07,mae,0.057988764452614104
hotel_21,2023-04-07,mae,0.045908419665709146
hotel_28,2023-04-07,mae,0.0030143275840617363
hotel_35,2023-04-07,mae,0.11276222983936576
hotel_42,2023-04-07,mae,0.17923021708801107
hotel_49,2023-04-07,mae,0.08728509625802205
hotel_56,2023-04-07,mae,0.039234790523540265
hotel_63,2023-04-07,mae,0.13295989928191124
hotel_7,2023-04-07,mae,0.16715826504512266
hotel_70,2023-04-07,mae,0.07870973145987965
hotel_77,2023-04-07,mae,0.0030143275840617363
hotel_84,2023-04-07,mae,0.11274021093329538
hotel_91,2023-04-07,mae,0.1748950425466446
hotel_98,2023-04-07,mae,0.15023961078050976
hotel_0,2023-05-05,mae,0.1453640716134621
hotel_105,2023-05-05,mae,0.17167211411016017
hotel_112,2023-05-05,mae,0.13912165597326487
hotel_126,2023-05-05,mae,0.05081394343824822
hotel_133,2023-05-05,mae,0.06138849850996269
hotel_14,2023-05-05,mae,0.14111305131948737
hotel_21,2023-05-05,mae,0.05202178198556374
hotel_28,2023-05-05,mae,0.0039301582924801
hotel_35,2023-05-05,mae,0.10971414615435664
hotel_42,2023-05-05,mae,0.22392332395496392
hotel_49,2023-05-05,mae,0.12378974776154594
hotel_56,2023-05-05,mae,0.09350439918620865
hotel_63,2023-05-05,mae,0.12805934764880084
hotel_7,2023-05-05,mae,0.09594020267587552
hotel_70,2023-05-05,mae,0.07161003882840367
hotel_77,2023-05-05,mae,0.0039301582924801
hotel_84,2023-05-05,mae,0.11176893241856464
hotel_91,2023-05-05,mae,0.19178685154355637
hotel_98,2023-05-05,mae,0.1653338809935641
hotel_0,2023-01-13,rmse,0.3186062702739563
hotel_105,2023-01-13,rmse,0.1205527762047095
hotel_112,2023-01-13,rmse,0.2769000319268199
hotel_126,2023-01-13,rmse,0.14579035215145048
hotel_133,2023-01-13,rmse,0.24033149339557902
hotel_14,2023-01-13,rmse,0.13697373705219512
hotel_21,2023-01-13,rmse,0.15083081538602963
hotel_28,2023-01-13,rmse,0.003912785138460123
hotel_35,2023-01-13,rmse,0.1052200663844506
hotel_42,2023-01-13,rmse,0.24687588999063464
hotel_49,2023-01-13,rmse,0.08023584948277804
hotel_56,2023-01-13,rmse,0.05483305654905144
hotel_63,2023-01-13,rmse,0.22090200141710858
hotel_7,2023-01-13,rmse,0.13354123843287122
hotel_70,2023-01-13,rmse,0.05659875187160278
hotel_77,2023-01-13,rmse,0.003912785138460123
hotel_84,2023-01-13,rmse,0.2538489169069465
hotel_91,2023-01-13,rmse,0.2035831861333289
hotel_98,2023-01-13,rmse,0.14235282934805552
hotel_0,2023-02-10,rmse,0.1361058928134711
hotel_105,2023-02-10,rmse,0.12160706172038074
hotel_112,2023-02-10,rmse,0.12532694812722064
hotel_126,2023-02-10,rmse,0.1522117061557556
hotel_133,2023-02-10,rmse,0.1795530826251897
hotel_14,2023-02-10,rmse,0.11590188995658317
hotel_21,2023-02-10,rmse,0.03273877223795854
hotel_28,2023-02-10,rmse,0.012048015193750754
hotel_35,2023-02-10,rmse,0.11351421716922411
hotel_42,2023-02-10,rmse,0.2319315428592957
hotel_49,2023-02-10,rmse,0.11987382020941838
hotel_56,2023-02-10,rmse,0.04651468138132657
hotel_63,2023-02-10,rmse,0.20187407670313753
hotel_7,2023-02-10,rmse,0.07649836357115063
hotel_70,2023-02-10,rmse,0.0830097956887718
hotel_77,2023-02-10,rmse,0.012048015193750754
hotel_84,2023-02-10,rmse,0.21386708364380166
hotel_91,2023-02-10,rmse,0.14219382247892368
hotel_98,2023-02-10,rmse,0.24704065665504973
hotel_0,2023-03-10,rmse,0.12821068424370083
hotel_105,2023-03-10,rmse,0.13619807591228894
hotel_112,2023-03-10,rmse,0.11154178060151838
hotel_126,2023-03-10,rmse,0.0745907157531043
hotel_133,2023-03-10,rmse,0.16454493062240144
hotel_14,2023-03-10,rmse,0.10768505146017308
hotel_21,2023-03-10,rmse,0.04185214880091709
hotel_28,2023-03-10,rmse,0.005072849161209862
hotel_35,2023-03-10,rmse,0.13635981402735817
hotel_42,2023-03-10,rmse,0.25993818528780654
hotel_49,2023-03-10,rmse,0.07196013813068756
hotel_56,2023-03-10,rmse,0.041419973981533256
hotel_63,2023-03-10,rmse,0.13123679792400572
hotel_7,2023-03-10,rmse,0.31054649717631955
