unique_id,ds,cutoff,y,LGBMRegressor
hotel_98,2023-03-10,2023-02-10,0.45161290322580644,0.15924322585630724
hotel_0,2023-03-11,2023-03-10,0.9876543209876543,0.9712364525680018
hotel_0,2023-03-12,2023-03-10,0.8518518518518519,0.8122095209241754
hotel_0,2023-03-13,2023-03-10,0.9629629629629629,0.8559835219943734
hotel_0,2023-03-14,2023-03-10,0.9382716049382716,0.8958602196232469
hotel_0,2023-03-15,2023-03-10,0.9876543209876543,0.9186841664528264
hotel_0,2023-03-16,2023-03-10,0.9876543209876543,0.8921963135361997
hotel_0,2023-03-17,2023-03-10,0.9876543209876543,0.955909096960689
hotel_0,2023-03-18,2023-03-10,0.8765432098765432,0.9722799282273137
hotel_0,2023-03-19,2023-03-10,0.3333333333333333,0.8395196455393967
hotel_0,2023-03-20,2023-03-10,0.7407407407407407,0.8725709711809745
hotel_0,2023-03-21,2023-03-10,0.8395061728395061,0.9092845539699524
hotel_0,2023-03-22,2023-03-10,0.8888888888888888,0.917998350026709
hotel_0,2023-03-23,2023-03-10,0.8641975308641975,0.8988183367791424
hotel_0,2023-03-24,2023-03-10,0.9629629629629629,0.9363304500297283
hotel_0,2023-03-25,2023-03-10,1.0,0.9605311677021129
hotel_0,2023-03-26,2023-03-10,0.7407407407407407,0.8062893478835588
hotel_0,2023-03-27,2023-03-10,0.6666666666666666,0.8592730649462138
hotel_0,2023-03-28,2023-03-10,0.7777777777777778,0.8903437496444875
hotel_0,2023-03-29,2023-03-10,0.7777777777777778,0.891970347992619
hotel_0,2023-03-30,2023-03-10,0.9135802469135802,0.8785732751331815
hotel_0,2023-03-31,2023-03-10,0.9876543209876543,0.9186941766777127
hotel_0,2023-04-01,2023-03-10,0.9876543209876543,0.9462519634497478
hotel_0,2023-04-02,2023-03-10,0.9753086419753086,0.8326204200233988
hotel_0,2023-04-03,2023-03-10,0.9876543209876543,0.8669369530467548
hotel_0,2023-04-04,2023-03-10,0.9876543209876543,0.8961803418082278
hotel_0,2023-04-05,2023-03-10,0.9876543209876543,0.8981421955438238
hotel_0,2023-04-06,2023-03-10,0.9876543209876543,0.884808689686687
hotel_0,2023-04-07,2023-03-10,0.9629629629629629,0.9222073765534625
hotel_105,2023-03-11,2023-03-10,0.9245283018867925,0.868003236292653
hotel_105,2023-03-12,2023-03-10,0.8930817610062893,0.610021987105317
hotel_105,2023-03-13,2023-03-10,0.9245283018867925,0.7062602881485274
hotel_105,2023-03-14,2023-03-10,0.9559748427672956,0.7051268262368463
hotel_105,2023-03-15,2023-03-10,0.9937106918238994,0.7097102059833704
hotel_105,2023-03-16,2023-03-10,0.9811320754716981,0.7406614255460556
hotel_105,2023-03-17,2023-03-10,0.8301886792452831,0.8376256340674032
hotel_105,2023-03-18,2023-03-10,0.7735849056603774,0.8848242996050998
hotel_105,2023-03-19,2023-03-10,0.6226415094339622,0.6643485793884951
hotel_105,2023-03-20,2023-03-10,0.5786163522012578,0.7321498932998668
hotel_105,2023-03-21,2023-03-10,0.660377358490566,0.7714166936958892
hotel_105,2023-03-22,2023-03-10,0.6918238993710691,0.7950309657340587
hotel_105,2023-03-23,2023-03-10,0.7169811320754716,0.7847137227033941
hotel_105,2023-03-24,2023-03-10,0.8176100628930818,0.8390506053305207
hotel_105,2023-03-25,2023-03-10,0.8301886792452831,0.8829374283415784
hotel_105,2023-03-26,2023-03-10,0.559748427672956,0.6525940249544431
hotel_105,2023-03-27,2023-03-10,0.7735849056603774,0.7160066973061123
hotel_105,2023-03-28,2023-03-10,0.8679245283018868,0.7586915512787057
hotel_105,2023-03-29,2023-03-10,0.8176100628930818,0.788980972437902
hotel_105,2023-03-30,2023-03-10,0.6415094339622641,0.7837538138493237
hotel_105,2023-03-31,2023-03-10,0.7987421383647799,0.8520090778071566
hotel_105,2023-04-01,2023-03-10,0.8301886792452831,0.8806320549179911
hotel_105,2023-04-02,2023-03-10,0.5723270440251572,0.6049305099125913
hotel_105,2023-04-03,2023-03-10,0.7735849056603774,0.7009221222509129
hotel_105,2023-04-04,2023-03-10,0.7924528301886793,0.7126736560518756
hotel_105,2023-04-05,2023-03-10,0.8805031446540881,0.7221339509456575
hotel_105,2023-04-06,2023-03-10,0.6352201257861635,0.7569067057865975
hotel_105,2023-04-07,2023-03-10,0.9685534591194969,0.8437317261835968
hotel_112,2023-03-11,2023-03-10,0.95,0.92956067683655
hotel_112,2023-03-12,2023-03-10,0.9875,0.8550762348477426
hotel_112,2023-03-13,2023-03-10,0.96875,0.8833021454664308
hotel_112,2023-03-14,2023-03-10,1.01875,0.8970739455165107
hotel_112,2023-03-15,2023-03-10,1.0,0.9107911685919879
hotel_112,2023-03-16,2023-03-10,0.975,0.8632446694021295
hotel_112,2023-03-17,2023-03-10,0.975,0.9177722405578344
hotel_112,2023-03-18,2023-03-10,0.91875,0.9172945591664794
hotel_112,2023-03-19,2023-03-10,0.99375,0.7837895441676254
hotel_112,2023-03-20,2023-03-10,0.89375,0.8303589186854688
hotel_112,2023-03-21,2023-03-10,0.94375,0.8719341463219242
hotel_112,2023-03-22,2023-03-10,0.8125,0.8882889063469496
hotel_112,2023-03-23,2023-03-10,0.80625,0.8740051447445311
hotel_112,2023-03-24,2023-03-10,0.99375,0.894822321694294
hotel_112,2023-03-25,2023-03-10,0.81875,0.9115219732620351
hotel_112,2023-03-26,2023-03-10,0.9875,0.7834234997848442
hotel_112,2023-03-27,2023-03-10,0.89375,0.8244151406440033
hotel_112,2023-03-28,2023-03-10,0.9,0.8716478867768033
hotel_112,2023-03-29,2023-03-10,0.99375,0.8807646893844138
hotel_112,2023-03-30,2023-03-10,0.9625,0.8726996707663385
hotel_112,2023-03-31,2023-03-10,0.75625,0.8823630142794403
hotel_112,2023-04-01,2023-03-10,0.825,0.8961383116486151
hotel_112,2023-04-02,2023-03-10,0.74375,0.7126304945379871
hotel_112,2023-04-03,2023-03-10,0.81875,0.7654112364715148
hotel_112,2023-04-04,2023-03-10,0.75625,0.8189773301443845
hotel_112,2023-04-05,2023-03-10,0.75625,0.8658302985937278
hotel_112,2023-04-06,2023-03-10,0.675,0.8686770997369996
hotel_112,2023-04-07,2023-03-10,0.65625,0.8934663214709565
hotel_126,2023-03-11,2023-03-10,0.9960159362549801,0.9924440041968501
hotel_126,2023-03-12,2023-03-10,0.9920318725099602,0.9089365373595611
hotel_126,2023-03-13,2023-03-10,0.9800796812749004,0.8923313290738069
hotel_126,2023-03-14,2023-03-10,1.00398406374502,0.9089537020661751
hotel_126,2023-03-15,2023-03-10,1.00398406374502,0.9124660977940353
hotel_126,2023-03-16,2023-03-10,0.9960159362549801,0.9427034194761937
hotel_126,2023-03-17,2023-03-10,1.0,0.9709476643990647
hotel_126,2023-03-18,2023-03-10,0.9960159362549801,0.9852038293089183
hotel_126,2023-03-19,2023-03-10,0.9960159362549801,0.9105430723374429
hotel_126,2023-03-20,2023-03-10,0.9960159362549801,0.9296553514889787
hotel_126,2023-03-21,2023-03-10,0.9601593625498008,0.9482824276217281
hotel_126,2023-03-22,2023-03-10,0.9840637450199203,0.9292249817309752
hotel_126,2023-03-23,2023-03-10,0.9920318725099602,0.9306371686577242
hotel_126,2023-03-24,2023-03-10,0.9960159362549801,0.9613847886544763
hotel_126,2023-03-25,2023-03-10,0.9960159362549801,0.9768081569174866
hotel_126,2023-03-26,2023-03-10,0.9960159362549801,0.8728203826973323
hotel_126,2023-03-27,2023-03-10,0.9880478087649402,0.8863608485531409
hotel_126,2023-03-28,2023-03-10,1.0,0.9040607390617461
hotel_126,2023-03-29,2023-03-10,1.0,0.8884427169770635
hotel_126,2023-03-30,2023-03-10,0.9641434262948207,0.889989185410352
hotel_126,2023-03-31,2023-03-10,1.0,0.9389545510309119
hotel_126,2023-04-01,2023-03-10,0.9960159362549801,0.9670166546123325
hotel_126,2023-04-02,2023-03-10,1.0,0.8641317731988649
hotel_126,2023-04-03,2023-03-10,0.9920318725099602,0.8989125794887418
hotel_126,2023-04-04,2023-03-10,1.0,0.9320399112623594
hotel_126,2023-04-05,2023-03-10,0.9840637450199203,0.9203640331805323
hotel_126,2023-04-06,2023-03-10,1.0,0.9339322302827984
hotel_126,2023-04-07,2023-03-10,0.9920318725099602,0.9434732410374368
hotel_133,2023-03-11,2023-03-10,1.0,0.889670759791467
hotel_133,2023-03-12,2023-03-10,0.8360655737704918,0.6467749405837588
hotel_133,2023-03-13,2023-03-10,0.9836065573770492,0.7255456860582703
hotel_133,2023-03-14,2023-03-10,0.9672131147540983,0.7880714122322641
hotel_133,2023-03-15,2023-03-10,0.9344262295081968,0.8168840210000343
hotel_133,2023-03-16,2023-03-10,1.0,0.8278671596760652
hotel_133,2023-03-17,2023-03-10,0.9672131147540983,0.8829400118239497
